 id ring tmt  diam  c98 c99 c00 
176  3 CO2 21.90   0   0   1
177  3 CO2 19.00   0   3  17
178  3 CO2 28.60   0  30  37
179  3 CO2 16.00   0   0   0
180  3 CO2 22.50   0   1   0
181  3 CO2 23.20   0   1   0
182  3 CO2  8.70   0   0   0
183  3 CO2 23.40   0   0   0
184  3 CO2 15.30   0   0   0
185  3 CO2 25.60   0  16  13
186  3 CO2 19.20   0   6   5
187  3 CO2 17.40   0   0   1
188  3 CO2 23.80   0   6  12
189  3 CO2 20.40   0   0   0
190  3 CO2 19.00   0   4  10
191  3 CO2  3.60   0   0   0
192  3 CO2 23.40   0  11   5
193  3 CO2 19.60   0   0   1
194  3 CO2 17.50   0   0   0
195  3 CO2 16.50   0   0   0
196  3 CO2 22.00   2  30  31
197  3 CO2 19.70   0   0   0
198  3 CO2  7.35   0   0   0
199  3 CO2 18.00   0   0   0
200  3 CO2 17.80   0   0   0
201  3 CO2  9.6   0   0   0
202  3 CO2 15.0   0   0   0
203  3 CO2 12.00   0   0   0
204  3 CO2 17.70   0   0   7
205  3 CO2 21.40   0   0   0
206  3 CO2 17.00   0   0   0
207  3 CO2 22.10   0   0   0
208  3 CO2 18.90   0   0   0
209  3 CO2 15.05   0   0   0
210  3 CO2 12.90   0   0   0
211  3 CO2 19.30   0   0   2
212  3 CO2 15.30   0   0   0
213  3 CO2 13.60   0   0   0
214  3 CO2 15.40   0   0   0
215  3 CO2 10.60   0   0   0
216  3 CO2 11.30   0   0   0
217  3 CO2 11.80   0   0   0
218  3 CO2 22.20   3  16  21
219  3 CO2 22.20   0   0   2
220  3 CO2 13.10   0   0   0
221  3 CO2  7.40   0   0   0
222  3 CO2  4.50   0   0   0
223  3 CO2 11.70   0   0   0
224  3 CO2 19.50   0   0   0
225  3 CO2 19.90   0  12   4
226  3 CO2 11.60   0   0   0
227  3 CO2 13.90   0   0   0
228  3 CO2 15.50   0   0   0
229  3 CO2 11.00   0   0   0
230  3 CO2 18.60   0   2   3
231  3 CO2 17.60   0   0   0
232  3 CO2 12.70   0   0   0
233  3 CO2 20.90   0   0   0
234  3 CO2 18.80   0   0   0
235  3 CO2 22.40   0   0   0
236  3 CO2 21.20   0   0   2
237  3 CO2 18.20   0   0   0
238  3 CO2 15.30   0   0   1
239  3 CO2 13.60   0   0   0
240  3 CO2  7.30   0   0   0
241  3 CO2 17.40   0   0   0
242  3 CO2 17.40   0   0   0
243  3 CO2 10.50   0   0   0
244  3 CO2 22.90   0   5   0
245  3 CO2 23.20   0   0   0
246  3 CO2 13.80   0   0   0
247  3 CO2 14.80   0   0   0
248  3 CO2 22.20   0   0   0
249  3 CO2 20.90   0   0   0
250  3 CO2 13.00   0   0   0
251  3 CO2 18.90   0   0   0
252  3 CO2 19.00   0   0   1
253  3 CO2 15.20   0   0   0
254  3 CO2 16.80   0   2   1
255  3 CO2 18.00   0   0   0
256  3 CO2 24.60   0  37  29
257  3 CO2 15.40   0   0   0
258  3 CO2 17.20   0   0   0
259  3 CO2 23.20   0   0   0
260  3 CO2 22.80   0   0   4
261  3 CO2 25.50   0   2   0
262  3 CO2  7.80   0   0   0
263  3 CO2  6.00   0   0   0
264  3 CO2  6.40   0   0   0
265  3 CO2 19.00   0   0   0
266  3 CO2 13.50   0   0   0
267  3 CO2 23.70   0   0   4
268  3 CO2 18.00   0   0   0
269  3 CO2 22.20   0   2  12
270  3 CO2 22.40   0  19  27
271  3 CO2  9.30   0   0   0
272  3 CO2 13.70   0   0   0
273  3 CO2 18.90   0   0   0
274  3 CO2 20.50   0   0   5
275  3 CO2 23.30   0   7   0
276  3 CO2 20.80   0   9  31
277  4 CO2 18.40   0   0   0
278  4 CO2  4.50   0   0   0
279  4 CO2 12.20   0   0   0
280  4 CO2 16.90   0  23  20
281  4 CO2 13.50   0   0   0
282  4 CO2 17.80   0   0   0
283  4 CO2 16.90   0   0   0
284  4 CO2 20.40   0   0   0
285  4 CO2 19.50   0   0  10
286  4 CO2 22.20   2  20  32
287  4 CO2 24.50   0   7  30
288  4 CO2 21.20   2   0   2
289  4 CO2 16.50   0   0   0
290  4 CO2 18.00   0   2   3
291  4 CO2 16.40   0   0   0
292  4 CO2  3.90   0   0   0
293  4 CO2 17.90   0   0   0
294  4 CO2 22.00   0  13  15
295  4 CO2 12.90   0   0   0
296  4 CO2 21.00   0  10  12
297  4 CO2 18.00   3  40  35
298  4 CO2  9.20   0   2   0
299  4 CO2 15.90   0   3   9
300  4 CO2  8.10   0   0   0
301  4 CO2  8.30   0   0   0
302  4 CO2 10.70   0   0   0
303  4 CO2 12.00   0   0   0
304  4 CO2 19.90   0  11  20
305  4 CO2 13.60   0   0   0
306  4 CO2 17.30   0   4   2
307  4 CO2 11.50   0   2   0
308  4 CO2 12.40   0   0   0
309  4 CO2 15.10   0   0   0
310  4 CO2 22.00   0   3   9
311  4 CO2 19.30   0   0   0
312  4 CO2 17.50   1   2   0
313  4 CO2 14.50   0   0   0
314  4 CO2 14.70   0   0   0
315  4 CO2 17.50   0   0   0
316  4 CO2 19.60   0   0   2
317  4 CO2 12.90   0   0   0
318  4 CO2 20.30   0   0   0
319  4 CO2 17.90   0   4   2
320  4 CO2 20.20   0  34   0
321  4 CO2 18.30   0   0   0
322  4 CO2  9.50   0   0   0
323  4 CO2 19.00   0   0   3
324  4 CO2 21.00   0  10   9
325  4 CO2 13.10   0   1   0
326  4 CO2 20.40   0   2   3
327  4 CO2 16.30   0   2   3
328  4 CO2 18.30   1   4   0
329  4 CO2 11.80   0   2   0
330  4 CO2 23.30   1   0   0
331  4 CO2 15.20   0   0   2
332  4 CO2 20.00   1   0   0
333  4 CO2 17.90   0   0   0
334  4 CO2 12.00   0   1   0
335  4 CO2 19.60   0   1   2
336  4 CO2 18.50   0   0   0
337  4 CO2 16.20   0   0   0
338  4 CO2 10.90   0   0   3
339  4 CO2 17.80   0   0   2
340  4 CO2 13.80   0   0   0
341  4 CO2 10.00   0   0   0
342  4 CO2 17.90   0   8  19
343  4 CO2 15.60   0   4   1
344  4 CO2 20.30   0   2   0
345  4 CO2 14.90   0   2   0
346  4 CO2 18.60   0   0   2
347  4 CO2 12.50   0   0   0
348  4 CO2 18.20   0   4   5
349  4 CO2 16.00   0   0   0
350  4 CO2 18.70   0   0   0
351  4 CO2 18.0   0   0   0
352  4 CO2 15.3   0   4   0
353  4 CO2 19.0   0   0   0
354  4 CO2 17.9   0   0   0
355  4 CO2 15.8   0   0   0
356  4 CO2 17.7   0   0   0
357  4 CO2 14.4   0   0   0
358  4 CO2 19.6   0   4   8
359  4 CO2 18.3   0  13  25
360  4 CO2 18.7   0  13  10
