interval	number
    2    1
    4    5
    5    3
    6    3
    7    2
    8    4
    9    7
   10    1
   11    2
   12    2
   13    5
   14    4
   15    1
   16    2
   17    1
   19    1
   20    1
   21    1
   24    1
   25    2
   30    2
   31    6
   33    2
   34    1
   36    1
   37    1
   39    1
   41    1
   44    1
   45    1
   47    1
   48    1
   51    1
   52    2
   53    5
   57    1
   60    1
   62    1
   76    1
   77    1
  164    1
